"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2021-06-30 00:00:00,1082037026816,13469421568,255031369728,813536235520,0
2021-06-30 01:00:00,1082037026816,13484945408,255037177856,813514903552,0
2021-06-30 02:00:00,1082037026816,13494366208,255043334144,813499326464,0
2021-06-30 03:00:00,1082037026816,13503152128,255048286208,813485588480,0
2021-06-30 04:00:00,1082037026816,13281030144,255053172736,813702823936,0
2021-06-30 05:00:00,1082037026816,13293608960,255058079744,813685338112,0
2021-06-30 06:00:00,1082037026816,13309399040,255064383488,813663244288,0
2021-06-30 07:00:00,1082037026816,13320216576,255069605888,813647204352,0
2021-06-30 08:00:00,1082037026816,13332856832,255074869248,813629300736,0
2021-06-30 09:00:00,1082037026816,13341667328,255080108032,813615251456,0
2021-06-30 10:00:00,1082037026816,21068644352,259172110336,801796272128,0
2021-06-30 11:00:00,1082037026816,21193977856,267939483648,792903565312,0
2021-06-30 12:00:00,1082037026816,21198458880,269557518336,791281049600,0
2021-06-30 13:00:00,1082037026816,21193478144,269564252160,791279296512,0
2021-06-30 14:00:00,1082037026816,21285634048,271614087168,789137305600,0
2021-06-30 15:00:00,1082037026816,26697170944,281909964800,773429891072,0
2021-06-30 16:00:00,1082037026816,26953678848,310928498688,744154849280,0
2021-06-30 17:00:00,1082037026816,27028119552,325440335872,729568571392,0
2021-06-30 18:00:00,1082037026816,27209310208,327058870272,727768846336,0
2021-06-30 19:00:00,1082037026816,27773050880,325906083840,728357892096,0

