"Time","GPU 2","GPU 5","GPU 4","GPU 3","GPU 0","GPU 7","GPU 1","GPU 6"
2021-06-27 16:00:00,0,0,0,0,0,0,0,0
2021-06-27 16:30:00,0,0,0,0,0,0,0,0
2021-06-27 17:00:00,0,0,0,0,0,0,0,0
2021-06-27 17:30:00,0,0,0,0,0,0,0,0
2021-06-27 18:00:00,0,0,0,0,0,0,0,0
2021-06-27 18:30:00,0,0,0,0,0,0,0,0
2021-06-27 19:00:00,0,0,0,0,0,0,0,0
2021-06-27 19:30:00,0,0,0,0,0,0,0,0
2021-06-27 20:00:00,0,0,0,0,0,0,0,0
2021-06-27 20:30:00,0,0,0,0,0,0,0,0
2021-06-27 21:00:00,0,0,0,0,0,0,0,0
2021-06-27 21:30:00,0,0,0,0,0,0,0,0
2021-06-27 22:00:00,0,0,0,0,0,0,0,0
2021-06-27 22:30:00,0,0,0,0,0,0,0,0
2021-06-27 23:00:00,0,0,0,0,0,0,0,0
2021-06-27 23:30:00,0,0,0,0,0,0,0,0
2021-06-28 00:00:00,0,0,0,0,0,0,0,0
2021-06-28 00:30:00,0,0,0,0,0,0,0,0
2021-06-28 01:00:00,0,0,0,0,0,0,0,0
2021-06-28 01:30:00,0,0,0,0,0,0,0,0
2021-06-28 02:00:00,0,0,0,0,0,0,0,0
2021-06-28 02:30:00,0,0,0,0,0,0,0,0
2021-06-28 03:00:00,0,0,0,0,0,0,0,0
2021-06-28 03:30:00,0,0,0,0,0,0,0,0
2021-06-28 04:00:00,0,0,0,0,0,0,0,0
2021-06-28 04:30:00,0,0,0,0,0,0,0,0
2021-06-28 05:00:00,0,0,0,0,0,0,0,0
2021-06-28 05:30:00,0,0,0,0,0,0,0,0
2021-06-28 06:00:00,0,0,0,0,0,0,0,0
2021-06-28 06:30:00,0,0,0,0,0,0,0,0
2021-06-28 07:00:00,0,0,0,0,0,0,0,0
2021-06-28 07:30:00,0,0,0,0,0,0,0,0
2021-06-28 08:00:00,0,0,0,0,0,0,0,0
2021-06-28 08:30:00,0,0,0,0,0,0,0,0
2021-06-28 09:00:00,0,0,0,0,0,0,0,0
2021-06-28 09:30:00,0,0,0,0,0,0,0,0
2021-06-28 10:00:00,0,0,0,0,0,0,0,0
2021-06-28 10:30:00,0,0,0,0,0,0,0,0
2021-06-28 11:00:00,0,0,0,0,0,0,0,0
2021-06-28 11:30:00,0,0,0,0,0,0,0,0
2021-06-28 12:00:00,0,0,0,0,0,0,0,0
2021-06-28 12:30:00,0,0,0,0,0,0,0,0
2021-06-28 13:00:00,0,0,0,0,0,0,0,0
2021-06-28 13:30:00,0,0,0,0,0,0,0,0
2021-06-28 14:00:00,0,0,0,0,0,0,0,0
2021-06-28 14:30:00,0,0,0,0,0,0,0,0
2021-06-28 15:00:00,0,0,0,0,0,0,0,0
2021-06-28 15:30:00,0,0,0,0,0,0,0,0
2021-06-28 16:00:00,0,0,0,0,0,0,0,0
2021-06-28 16:30:00,92,87,96,95,93,72,93,97
2021-06-28 17:00:00,84,87,89,95,96,87,91,91
2021-06-28 17:30:00,90,83,94,74,91,86,91,59
2021-06-28 18:00:00,88,86,90,88,89,87,90,90
2021-06-28 18:30:00,0,87,86,0,89,85,86,86
2021-06-28 19:00:00,0,90,93,0,86,85,86,83
2021-06-28 19:30:00,0,82,89,0,86,86,86,87
2021-06-28 20:00:00,0,89,83,0,87,88,85,83
2021-06-28 20:30:00,0,87,89,0,88,85,85,86
2021-06-28 21:00:00,0,89,83,0,86,89,88,89
2021-06-28 21:30:00,0,82,87,0,86,88,86,90
2021-06-28 22:00:00,0,87,86,0,86,88,86,83
2021-06-28 22:30:00,0,89,86,0,85,87,86,87
2021-06-28 23:00:00,0,89,84,0,88,88,86,88
2021-06-28 23:30:00,0,88,89,0,78,86,85,89
2021-06-29 00:00:00,0,87,86,0,89,85,86,89
2021-06-29 00:30:00,0,93,88,0,85,88,85,92
2021-06-29 01:00:00,0,90,0,0,0,0,0,86
2021-06-29 01:30:00,0,94,0,0,0,0,0,86
2021-06-29 02:00:00,0,82,0,0,0,0,0,93
2021-06-29 02:30:00,0,88,0,0,0,0,0,81
2021-06-29 03:00:00,0,88,0,0,0,0,0,87
